	growth
0_NACL60	0.11656757836145679
0_NACL20	0.01610483126804208
0_NACL100	0.01754839056593965
0_HN	0.14753286157612153
0_Fermentation-9h	0.14650095337234315
0_Fermentation-19h	0.10314471433207803
0_Fermentation-30h	0.12559043831568195
1_NACL60	0.15782230809490083
1_NACL20	0.047362239165758845
1_NACL100	0.04778467001474655
1_HN	0.1845368544949887
1_Fermentation-9h	0.1655873941067546
1_Fermentation-19h	0.13202705658768488
1_Fermentation-30h	0.1496732031668716
2_NACL60	0.14755143550621203
2_NACL20	0.05584958249073201
2_NACL100	0.0515883239234686
2_HN	0.17396557015150924
2_Fermentation-9h	0.18814708229296784
2_Fermentation-19h	0.14226645537622323
2_Fermentation-30h	0.16044083448839488
3_NACL60	0.12933523717993067
3_NACL20	0.02888780481690442
3_NACL100	0.027882197745022676
3_HN	0.17227834992116753
3_Fermentation-9h	0.16688023094313148
3_Fermentation-19h	0.12158236739970216
3_Fermentation-30h	0.14386580667455462
4_NACL60	0.13672766488181537
4_NACL20	0.020695822198521386
4_NACL100	0.024470633134808635
4_HN	0.16409808597700673
4_Fermentation-9h	0.1536467446274593
4_Fermentation-19h	0.1298166393201378
4_Fermentation-30h	0.14774946641509315
5_NACL60	0.1536576249416614
5_NACL20	0.05569453407398732
5_NACL100	0.05446534650169114
5_HN	0.18032854899850329
5_Fermentation-9h	0.18323363105480925
5_Fermentation-19h	0.14723474844043527
5_Fermentation-30h	0.1648880670895419
6_NACL60	0.0833919930559317
6_NACL20	0.022758092412849856
6_NACL100	0.02155571390315325
6_HN	0.10750195404202177
6_Fermentation-9h	0.10821800061768616
6_Fermentation-19h	0.0778375566291102
6_Fermentation-30h	0.09153932432934139
7_NACL60	0.1078294271254964
7_NACL20	0.022815949344162666
7_NACL100	0.020761845526284867
7_HN	0.14015304711538729
7_Fermentation-9h	0.1361908216635121
7_Fermentation-19h	0.10003231638412667
7_Fermentation-30h	0.11702132132164249
8_NACL60	0.05211585276336094
8_NACL20	-1.0
8_NACL100	-1.0
8_HN	0.09918049671486732
8_Fermentation-9h	0.07840122261114846
8_Fermentation-19h	0.042678633113969806
8_Fermentation-30h	0.06196295032107329
9_NACL60	-1.0
9_NACL20	-1.0
9_NACL100	-1.0
9_HN	-1.0
9_Fermentation-9h	-1.0
9_Fermentation-19h	-1.0
9_Fermentation-30h	-1.0
10_NACL60	0.07955954263490927
10_NACL20	0.0187616922271867
10_NACL100	0.018074970587416406
10_HN	0.09856495844351389
10_Fermentation-9h	0.10363548875412043
10_Fermentation-19h	0.07456534173959685
10_Fermentation-30h	0.08825185971667442
11_NACL60	0.17099990831674794
11_NACL20	0.03787266419527089
11_NACL100	0.0401143489788775
11_HN	0.23616945561776637
11_Fermentation-9h	0.20329592564184973
11_Fermentation-19h	0.16072589720892422
11_Fermentation-30h	0.17955533339370108
12_NACL60	0.040997607298034575
12_NACL20	-1.0
12_NACL100	-1.0
12_HN	0.0517567007726027
12_Fermentation-9h	0.05732559150186649
12_Fermentation-19h	0.034854122084834696
12_Fermentation-30h	0.04542645725336336
13_NACL60	0.19674866647387637
13_NACL20	0.028018710664469405
13_NACL100	0.048905836752529
13_HN	0.22137152990406056
13_Fermentation-9h	0.1749830920701332
13_Fermentation-19h	0.17716119094020769
13_Fermentation-30h	0.17701961878278355
14_NACL60	0.13999115475478247
14_NACL20	0.04548264327366039
14_NACL100	0.04107752981799036
14_HN	0.16488636381181113
14_Fermentation-9h	0.17295921926503016
14_Fermentation-19h	0.13528788475995604
14_Fermentation-30h	0.1534177259189546
15_NACL60	0.10530940875808534
15_NACL20	0.034864008140897434
15_NACL100	0.03411132712297477
15_HN	0.11633728242667775
15_Fermentation-9h	0.12510615728222266
15_Fermentation-19h	0.0953038678565132
15_Fermentation-30h	0.10701546666739861
16_NACL60	0.08274857735579502
16_NACL20	0.02162284519393103
16_NACL100	0.018452921890752153
16_HN	0.09766434862219298
16_Fermentation-9h	0.10540375180400802
16_Fermentation-19h	0.0748345630410062
16_Fermentation-30h	0.086831327015276
17_NACL60	0.1068739602822051
17_NACL20	0.03148248595976268
17_NACL100	0.028301450209691627
17_HN	0.13003088540405883
17_Fermentation-9h	0.14146230944596241
17_Fermentation-19h	0.10383079138956061
17_Fermentation-30h	0.1189334419901083
18_NACL60	0.12951645797262606
18_NACL20	-1.0
18_NACL100	0.005300907682652342
18_HN	0.1581502936426763
18_Fermentation-9h	0.15941760742699312
18_Fermentation-19h	0.11509799832436796
18_Fermentation-30h	0.13648430213627405
19_NACL60	0.053226063212636586
19_NACL20	-1.0
19_NACL100	-1.0
19_HN	0.06560781537619692
19_Fermentation-9h	0.07328758463705896
19_Fermentation-19h	0.04988235375558758
19_Fermentation-30h	0.058858690422432254
20_NACL60	0.12161273915560589
20_NACL20	0.0402572824682738
20_NACL100	0.03832122997547999
20_HN	0.1349669108123285
20_Fermentation-9h	0.13942992873464818
20_Fermentation-19h	0.10567610772623509
20_Fermentation-30h	0.12045480778142068
21_NACL60	0.11524685063160418
21_NACL20	0.015366456810292414
21_NACL100	0.01232883087534243
21_HN	0.15199781380231692
21_Fermentation-9h	0.15510906837068889
21_Fermentation-19h	0.10491569169821838
21_Fermentation-30h	0.12630869564334682
22_NACL60	0.1619583657078904
22_NACL20	-1.0
22_NACL100	0.031029908512563795
22_HN	0.28940512781356664
22_Fermentation-9h	0.22527346780576074
