	growth
0_NACL60	0.12886588113517006
0_NACL20	0.020106597420905124
0_NACL100	0.03648195596905078
0_HN	0.143728784442132
0_Fermentation-9h	0.12312609602446467
0_Fermentation-19h	0.07707572496643673
0_Fermentation-30h	0.07169305211422458
1_NACL60	0.14324240295077845
1_NACL20	0.023712370130565086
1_NACL100	0.04170890215973293
1_HN	0.15957673822125756
1_Fermentation-9h	0.1697416294738903
1_Fermentation-19h	0.10626773564113387
1_Fermentation-30h	0.0988532777733927
2_NACL60	0.14703310892181626
2_NACL20	0.026605162040207627
2_NACL100	0.04473714710291107
2_HN	0.16349033488100725
2_Fermentation-9h	0.17404792519074777
2_Fermentation-19h	0.1089601090372734
2_Fermentation-30h	0.101350753158424
3_NACL60	0.14282988713054234
3_NACL20	0.017684805521625532
3_NACL100	0.03652499277118086
3_HN	0.15993255912801432
3_Fermentation-9h	0.17950510947735085
3_Fermentation-19h	0.11236843280898323
3_Fermentation-30h	0.10452105267737291
4_NACL60	0.13543780073698666
4_NACL20	0.03650518635343582
4_NACL100	0.05651018062811368
4_HN	0.1458208584787561
4_Fermentation-9h	0.05265574421671747
4_Fermentation-19h	0.05930981013402991
4_Fermentation-30h	0.0722098866124054
5_NACL60	0.1535481632708071
5_NACL20	0.0303066328888144
5_NACL100	0.04885813904696918
5_HN	0.1703819454059301
5_Fermentation-9h	0.1953567411196685
5_Fermentation-19h	0.12242373733355094
5_Fermentation-30h	0.11387413332127426
6_NACL60	0.16384840606940965
6_NACL20	0.030193707755600187
6_NACL100	0.05030861157335582
6_HN	0.18211118832320305
6_Fermentation-9h	0.20600097446573362
6_Fermentation-19h	0.12895458366206272
6_Fermentation-30h	0.11994889040439165
7_NACL60	0.12938540757591604
7_NACL20	0.010000707338733164
7_NACL100	0.027976275740095372
7_HN	0.14570033723959824
7_Fermentation-9h	0.15428233792228885
7_Fermentation-19h	0.09657948333438615
7_Fermentation-30h	0.08983491992141325
8_NACL60	0.1423102825969583
8_NACL20	0.0275391919102816
8_NACL100	0.044818457149989034
8_HN	0.1579940191797781
8_Fermentation-9h	0.14770981613855372
8_Fermentation-19h	0.0924648919370427
8_Fermentation-30h	0.08600749871989734
9_NACL60	0.15218890154316117
9_NACL20	-1.0
9_NACL100	0.027862794111725396
9_HN	0.168474425467875
9_Fermentation-9h	0.13925604659275026
9_Fermentation-19h	0.08717587842704888
9_Fermentation-30h	0.08108993651550049
10_NACL60	0.15852455712073912
10_NACL20	0.032417114438714416
10_NACL100	0.043611661240425995
10_HN	0.17548897527594587
10_Fermentation-9h	0.14505733615323632
10_Fermentation-19h	0.09080446555842459
10_Fermentation-30h	0.08446303014746201
11_NACL60	0.15244974244998938
11_NACL20	0.02965044274907218
11_NACL100	0.048140044056248686
11_HN	0.16923130430433383
11_Fermentation-9h	0.20379510366125578
11_Fermentation-19h	0.127632001002977
11_Fermentation-30h	0.11875342954614608
12_NACL60	0.1388113894602572
12_NACL20	0.027691415283190506
12_NACL100	0.04442256841829089
12_HN	0.1539968868760835
12_Fermentation-9h	0.166146362127754
12_Fermentation-19h	0.10404495955678218
12_Fermentation-30h	0.09678129772610047
13_NACL60	0.14256996948552741
13_NACL20	0.027961416141719587
13_NACL100	0.045217647723682315
13_HN	0.1582321263107754
13_Fermentation-9h	0.1994325051147974
13_Fermentation-19h	0.12113845938977542
13_Fermentation-30h	0.11267877092835675
14_NACL60	0.141429663913084
14_NACL20	0.02585047683550753
14_NACL100	0.043253059869885035
14_HN	0.15722466569310434
14_Fermentation-9h	0.17663803849686283
14_Fermentation-19h	0.18536337265867875
14_Fermentation-30h	0.2122640392459233
15_NACL60	0.1445470094304835
15_NACL20	0.028387709984194563
15_NACL100	0.04587219914641862
15_HN	0.1604195265729753
15_Fermentation-9h	0.19350154077085802
15_Fermentation-19h	0.12113006112121165
15_Fermentation-30h	0.11267080249106584
16_NACL60	0.15905650945533487
16_NACL20	0.029359007479924214
16_NACL100	0.04888650230074661
16_HN	0.17678005601675864
16_Fermentation-9h	0.21179379027138012
16_Fermentation-19h	0.13277716612037302
16_Fermentation-30h	0.12350451837310154
17_NACL60	0.1470968219062095
17_NACL20	0.024827504033428975
17_NACL100	0.04323663514229392
17_HN	0.16380570890523208
17_Fermentation-9h	0.20079377430304796
17_Fermentation-19h	0.12573225440215213
17_Fermentation-30h	0.11697518239919401
18_NACL60	0.12781482737134603
18_NACL20	0.0255198465420879
18_NACL100	0.04092223058328599
18_HN	0.1417943165402652
18_Fermentation-9h	0.1669600103754581
18_Fermentation-19h	0.10500787379552004
18_Fermentation-30h	0.09767452685912563
19_NACL60	0.13950586135384724
19_NACL20	0.022874030046501712
19_NACL100	0.04296212832681478
19_HN	0.15503764914116086
19_Fermentation-9h	0.1896567803950729
19_Fermentation-19h	0.11872390129659738
19_Fermentation-30h	0.11043267963502634
20_NACL60	0.14853864463728356
20_NACL20	0.02991874170305188
20_NACL100	0.047778892797954865
20_HN	0.16474897736496263
20_Fermentation-9h	0.19219698476928485
20_Fermentation-19h	0.12031342189655529
20_Fermentation-30h	0.11191119421612489
21_NACL60	0.13312677762318817
21_NACL20	0.03150984213461004
21_NACL100	0.036624420274940776
21_HN	0.1473730144947428
21_Fermentation-9h	0.12181656598657374
21_Fermentation-19h	0.07625597204372081
21_Fermentation-30h	0.07093054759020676
22_NACL60	0.14910465994367117
22_NACL20	0.029539630021086324
22_NACL100	0.0475423508042233
22_HN	0.16544423449285225
22_Fermentation-9h	0.18932279194314783
22_Fermentation-19h	0.1185192247459453
22_Fermentation-30h	0.11024548724949604
23_NACL60	0.14949681296250864
23_NACL20	0.02907253277752142
23_NACL100	0.04720443904893231
23_HN	0.16595372556745552
23_Fermentation-9h	0.1891749322649538
23_Fermentation-19h	0.11842461162986069
23_Fermentation-30h	0.11015429121018538
24_NACL60	0.1493990768038579
24_NACL20	0.02824211903628537
24_NACL100	0.0464845348921182
24_HN	0.16595619814712756
24_Fermentation-9h	0.1927922852788397
24_Fermentation-19h	0.12068966466334169
24_Fermentation-30h	0.11226358236279582
25_NACL60	0.14790822337122161
25_NACL20	0.029187372787749133
25_NACL100	0.047062615170499124
25_HN	0.16413236596095085
25_Fermentation-9h	0.19399392892360393
25_Fermentation-19h	0.1214382912610321
25_Fermentation-30h	0.11295750702087178
26_NACL60	0.14965859748711074
26_NACL20	0.027480224220115784
26_NACL100	0.04586213499341815
26_HN	0.16633920440202168
26_Fermentation-9h	0.18971577572874035
26_Fermentation-19h	0.1187602215545278
26_Fermentation-30h	0.11046647116457536
27_NACL60	0.15045043495667168
27_NACL20	0.028900174364201996
27_NACL100	0.04720173212007176
27_HN	0.16706134998957514
27_Fermentation-9h	0.19326621101492597
27_Fermentation-19h	0.12103391718948606
27_Fermentation-30h	0.11258137288113264
28_NACL60	0.1520540637864035
28_NACL20	0.030501022504090935
28_NACL100	0.04880084239951401
28_HN	0.16866486017747417
28_Fermentation-9h	0.18795226308550575
28_Fermentation-19h	0.11765626787620383
28_Fermentation-30h	0.10943960563568422
29_NACL60	0.12896605667392508
29_NACL20	0.02276002276272824
29_NACL100	0.038751295054575675
29_HN	0.14348001805466348
29_Fermentation-9h	0.18165701117209707
29_Fermentation-19h	0.111682936088643
29_Fermentation-30h	0.10389296700016545
30_NACL60	0.1473503021546874
30_NACL20	0.026621944984130022
30_NACL100	0.04479874849214353
30_HN	0.1638485404149753
30_Fermentation-9h	0.18846482055475958
30_Fermentation-19h	0.11797712381015346
30_Fermentation-30h	0.10973805422246284
31_NACL60	0.14690181814046852
31_NACL20	0.028797359964640105
31_NACL100	0.04658006557578091
31_HN	0.1630418327184934
31_Fermentation-9h	0.19439422172396176
31_Fermentation-19h	0.12169448295164942
31_Fermentation-30h	0.11319580726695534
32_NACL60	0.14948793811013156
32_NACL20	0.027951660506762236
32_NACL100	0.04624370174321658
32_HN	0.1660943457009106
32_Fermentation-9h	0.18744729589463127
32_Fermentation-19h	0.11734016338198687
32_Fermentation-30h	0.10914557666619708
33_NACL60	0.14849716071359617
33_NACL20	0.028098610821202966
33_NACL100	0.04622637948388426
33_HN	0.16495051891218807
33_Fermentation-9h	0.19561014603148397
33_Fermentation-19h	0.12245002727270722
33_Fermentation-30h	0.1138985872720391
34_NACL60	0.1455643817552041
34_NACL20	0.028331550200775216
34_NACL100	0.04598307569952668
34_HN	0.1615852272716214
34_Fermentation-9h	0.1900222625569203
34_Fermentation-19h	0.11895211300056961
34_Fermentation-30h	0.11064495390942779
35_NACL60	0.148965409414125
35_NACL20	-1.0
35_NACL100	0.044405468354335495
35_HN	0.16578420357144638
35_Fermentation-9h	0.1887325713114574
35_Fermentation-19h	0.11814473315000716
35_Fermentation-30h	0.10989395836930137
36_NACL60	0.14474294658765224
36_NACL20	0.025136613828912004
36_NACL100	0.043144469970865636
36_HN	0.16108788101748708
36_Fermentation-9h	0.19121805668190275
36_Fermentation-19h	0.11970756827706565
36_Fermentation-30h	0.11134765108821339
37_NACL60	0.14878967777658295
37_NACL20	0.030967287854201032
37_NACL100	0.04870762415237465
37_HN	0.1648911049712367
37_Fermentation-9h	0.18646504227100694
37_Fermentation-19h	0.11672593141969045
37_Fermentation-30h	0.10857466709153685
38_NACL60	0.14495698865350462
38_NACL20	0.024765848016762
38_NACL100	0.04286253218281767
38_HN	0.16138208782623756
38_Fermentation-9h	0.2045890282399986
38_Fermentation-19h	0.12873976142196555
38_Fermentation-30h	0.11974907052541317
39_NACL60	0.14494426296498197
39_NACL20	0.027934916527343943
39_NACL100	0.04555280596870756
39_HN	0.16093457084022297
