GoTerm,Genes,GeneNumber,GeneNumDet_NACL60,MassFrac_NACL60,GeneNumDet_NACL20,MassFrac_NACL20,GeneNumDet_NACL100,MassFrac_NACL100,GeneNumDet_HN,MassFrac_HN,GeneNumDet_Fermentation-9h,MassFrac_Fermentation-9h,GeneNumDet_Fermentation-19h,MassFrac_Fermentation-19h,GeneNumDet_Fermentation-30h,MassFrac_Fermentation-30h,GeneNumDet_MU,MassFrac_MU
GO:0006457,TD01GL000341;TD01GL001551;TD01GL001736;TD01GL001743;TD01GL002151,5.0,5.0,0.024739271053744353,5.0,0.03971788225659286,5.0,0.040616916755678446,5.0,0.025257023448456324,4.0,0.03092189654673904,4.0,0.028647438445744158,4.0,0.028882976153549025,5.0,0.00784233689340513
GO:0008643,TD01GL000259;TD01GL000261;TD01GL001072;TD01GL001434;TD01GL001436;TD01GL003296,6.0,2.0,0.00017948849689138784,1.0,9.417005912996031e-06,2.0,7.618204342471571e-05,2.0,0.00016724063198943974,2.0,0.00015520231628871447,2.0,0.000271737530657497,2.0,0.00024189732378567593,0.0,0.0
GO:0006754,TD01GL003778;TD01GL003779;TD01GL003780;TD01GL003781;TD01GL003782;TD01GL003783;TD01GL003784;TD01GL003785,8.0,7.0,0.023647362144640773,7.0,0.025318715447535584,7.0,0.025146553783976414,7.0,0.025657300439620646,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.03544102095735138
GO:0018193,TD01GL000590;TD01GL001101;TD01GL001312;TD01GL002983;TD01GL003450;TD01GL003452;TD01GL003707,7.0,5.0,0.002887948116087638,4.0,0.002478877633311738,5.0,0.003571772566524868,5.0,0.003079211588699231,3.0,0.002937599263939156,3.0,0.002480190580795793,3.0,0.002744225517021392,3.0,0.007285728490311525
GO:0015031,TD01GL000479;TD01GL000480;TD01GL000481;TD01GL000600;TD01GL000601;TD01GL000688;TD01GL001093;TD01GL001548;TD01GL001549;TD01GL001550,10.0,4.0,0.00043561208966132046,0.0,0.0,5.0,0.001060906689794625,3.0,0.0005027189470322446,2.0,0.0010431041347075914,3.0,0.0011841668324405943,3.0,0.0011669874634062556,3.0,0.0013169352386033695
GO:0006281,TD01GL000156;TD01GL000510;TD01GL001523;TD01GL001668;TD01GL001870;TD01GL001891;TD01GL002020;TD01GL002240;TD01GL003097;TD01GL003182;TD01GL003356,11.0,6.0,4.7931782020119016e-05,3.0,3.445380451306484e-05,5.0,7.360467302915482e-05,4.0,5.2109164964004295e-05,3.0,7.314032906625146e-05,3.0,4.678373197033799e-05,3.0,3.401326693287197e-05,0.0,0.0
GO:0023052,TD01GL000375;TD01GL000667;TD01GL001533;TD01GL001648;TD01GL001987;TD01GL002852;TD01GL002860;TD01GL002886;TD01GL003229;TD01GL003292;TD01GL003307;TD01GL003322;TD01GL003562,13.0,6.0,0.0002343247966923509,2.0,3.257529295585291e-05,6.0,0.00023060032608449024,7.0,0.0003317001472057185,6.0,0.00035170918806603254,6.0,0.0004337122904985867,6.0,0.00031437101544474946,2.0,0.0009527793997237621
GO:0070271,TD01GL000440;TD01GL000461;TD01GL000749;TD01GL000750;TD01GL000751;TD01GL000752;TD01GL000753;TD01GL001054;TD01GL001297;TD01GL001303;TD01GL001317;TD01GL001411;TD01GL001719;TD01GL002041;TD01GL002206,15.0,5.0,0.0003038481839601779,3.0,6.756653723500279e-05,6.0,0.00016004075355947152,6.0,0.0004050378798598821,2.0,0.0011016996689305026,2.0,0.0005142246765901765,2.0,0.0004437344441757002,3.0,0.001652587696671988
GO:0009311,TD01GL000016;TD01GL000019;TD01GL000504;TD01GL000533;TD01GL000534;TD01GL000535;TD01GL000536;TD01GL001742;TD01GL002282;TD01GL002295;TD01GL002517;TD01GL002921;TD01GL003141;TD01GL003259;TD01GL003773,15.0,11.0,0.0017499484534752208,11.0,0.001746815434584818,11.0,0.001636667492625064,11.0,0.0018705757715662828,9.0,0.001142984763429707,9.0,0.0012322365115612372,9.0,0.0012745517065638333,5.0,0.0018147660218796346
GO:0006865,TD01GL000166;TD01GL000168;TD01GL000772;TD01GL000773;TD01GL001622;TD01GL001705;TD01GL001706;TD01GL002200;TD01GL002681;TD01GL002888;TD01GL002889;TD01GL003255;TD01GL003256;TD01GL003606;TD01GL003792;TD01GL003793,16.0,11.0,0.008731497646845568,5.0,0.0017483407251808068,9.0,0.010271695619076492,10.0,0.007752143028635174,9.0,0.0013809500535948316,9.0,0.0018494518169041177,9.0,0.0014111350754687072,4.0,0.0015973027548400551
