,Ptot
NACL60-1,0.18465608465608468
NACL60-2,0.16197183098591553
NACL60-3,0.1531645569620253
NACL20-1,0.05067567567567568
NACL20-2,0.04610778443113773
NACL20-3,0.05352112676056338
NACL100-1,0.04516129032258064
NACL100-2,0.04311377245508982
NACL100-3,0.03814432989690721
HN-1,0.16137566137566137
HN-2,0.15859030837004404
HN-3,0.18011363636363636
Fermentation-9h-L,0.13396689147762111
Fermentation-19h-L,0.09907341411261582
Fermentation-30h-L,0.12373349708320541
Fermentation-9h-R,0.06305244549204479
Fermentation-19h-R,0.10676953708312593
Fermentation-30h-R,0.11856054949977603
MU,0.31
