,NACL60-1,NACL60-2,NACL60-3,NACL20-1,NACL20-2,NACL20-3,NACL100-1,NACL100-2,NACL100-3,HN-1,HN-2,HN-3,Fermentation_L9h,Fermentation_L19h,Fermentation_L30h,Fermentation_R9h,Fermentation_R19h,Fermentation_R30h,MU
TD01GL000001,5.5460782155112094e-08,1.2814205135664678e-07,1.7476290981889727e-07,7.471538648815584e-08,6.868420977706649e-08,2.6931240457345367e-08,5.409671350365006e-08,3.737754589757405e-08,9.43236033424923e-08,1.1056574178384296e-07,1.5699263725207453e-07,1.3769384755020265e-07,1.8186458487004632e-07,1.821474486452918e-07,4.888608980863249e-08,1.9728082405270276e-07,1.8787518094447419e-07,1.199586466604941e-08,
TD01GL000002,3.23649772811337e-06,3.199171114617025e-06,4.0174545242619355e-06,9.042286401009992e-07,1.3943904673371697e-06,1.2351003609382536e-06,1.4206615647919152e-06,1.2761723976379228e-06,1.371391924505825e-06,2.896086384853209e-06,3.7068713443989735e-06,3.5783616288590507e-06,3.625169589213497e-06,2.0473408409616066e-06,2.4192680983029684e-06,1.771563902092413e-06,2.3936599013653026e-06,2.169907583832282e-06,4.29e-07
TD01GL000003,,,,,,,1.4902771239588169e-09,4.6502666239064735e-09,2.532252003794166e-09,,,,,,,,,,
TD01GL000004,6.876648485252309e-07,7.670748986668303e-07,9.395382742900062e-07,5.400188261008448e-07,4.6219708522191237e-07,4.845974945735946e-07,2.7346022477101077e-07,3.7679686169543627e-07,3.732510229042266e-07,7.087453232949018e-07,9.75642142315343e-07,1.161091603850341e-06,1.1039098220309806e-06,5.272555570987243e-07,4.478581143280424e-07,5.014465677476842e-07,6.078025356280122e-07,4.861559635512334e-07,2.33e-07
TD01GL000006,1.5245631940948814e-07,1.0748898483966322e-07,1.7873501174846196e-07,6.6100123190853215e-09,8.535983517518753e-09,1.0985972474785663e-08,1.7673417152969025e-09,6.406410811896281e-09,1.2896735202372603e-08,1.5751286454961694e-07,1.6851859566476307e-07,2.2128116237761958e-07,,,,1.9705607617641872e-07,1.0622188956260512e-07,4.317709053439899e-08,
TD01GL000007,1.311474304690902e-06,1.448870916688616e-06,1.3860731829115179e-06,7.475093253261011e-07,6.005934602873065e-07,7.104117209443246e-07,5.159922232851775e-07,5.485078204512569e-07,5.761636333657115e-07,1.2573495701596463e-06,1.372121044966217e-06,1.6892215599668968e-06,1.5434939850995514e-06,6.503153616761242e-07,9.751868237381674e-07,1.0202663838427198e-06,1.1131111864190656e-06,7.766855703475534e-07,1.99e-07
TD01GL000008,1.4692917654489727e-06,1.179030304896324e-06,1.2252979028223334e-06,1.254486443845202e-06,1.1555266726199516e-06,1.201465941701656e-06,5.771576437619412e-07,7.412700510245862e-07,6.866726336413617e-07,1.1139011292024491e-06,1.4432134273017562e-06,1.6298480326402822e-06,1.689794251613831e-06,4.4813394784673294e-07,4.865342328013795e-07,8.636651114472357e-07,8.580593556929873e-07,6.906884933293235e-07,2.24e-07
TD01GL000009,3.738490748630487e-07,3.722433625399352e-07,5.69159675474647e-07,1.594965775913805e-07,1.2599859982830234e-07,1.1239182293022518e-07,1.5026634877242173e-07,1.845208495940531e-07,1.797189631409268e-07,4.169941283564091e-07,5.838341115333237e-07,5.957444883879343e-07,6.476645971275558e-07,2.4770252345144444e-07,3.092096711600783e-07,4.0795013817506326e-07,4.0523552710788417e-07,4.340131574408017e-07,1.44e-07
TD01GL000010,1.3743365684068134e-08,4.385186644444893e-09,1.163748833716171e-07,,,,9.08510460124199e-09,1.2703686760916902e-08,2.065206003758933e-08,8.376794824051422e-08,1.0967848144507685e-07,1.4312087943658235e-08,8.394465614015016e-08,3.983914121264235e-08,7.11178064221592e-08,9.849801131310973e-08,7.287772992959057e-08,4.0895781269983167e-08,4.4800000000000004e-08
TD01GL000011,2.3445431690078792e-08,2.197398676717302e-08,2.678341189421613e-08,,,,4.719537763435206e-09,7.548472029127445e-09,1.0202924493212834e-08,2.0359362156567638e-08,9.710223640848932e-08,8.462759815627183e-08,4.8076138173337257e-08,1.989287518344549e-08,1.891900777150949e-09,3.186484286490055e-08,1.9367873900025837e-08,1.3640668727083041e-08,
