,NACL60-1,NACL60-2,NACL60-3,NACL20-1,NACL20-2,NACL20-3,NACL100-1,NACL100-2,NACL100-3,HN-1,HN-2,HN-3,Fermentation_L9h,Fermentation_L19h,Fermentation_L30h,Fermentation_R9h,Fermentation_R19h,Fermentation_R30h,MU
TD01GL000013,7.235426076651519e-08,6.220301780291886e-08,1.168094783896094e-07,8.865818054082754e-09,4.127844085702392e-09,9.372803198194543e-09,4.5559218931010245e-09,2.3455369347944233e-08,1.3313302028740046e-08,7.367918136806221e-08,1.5128506529193702e-07,1.3840243895715477e-07,,,,5.208981534053631e-08,3.98495952831014e-08,7.598824813893127e-09,
TD01GL000015,,,,,,,2.4534493493225083e-09,6.728578887320503e-09,3.7068170863572516e-09,,,,,,,,,,
TD01GL000016,2.664960674716613e-07,5.0902721224849955e-08,1.2609493178600584e-07,2.3398204360138495e-08,1.4397881327377047e-08,1.7542583320258793e-08,1.7360414255661782e-08,2.7849425660739555e-08,4.140099246515799e-08,5.838820823062724e-08,7.604007728126278e-08,1.1849663127373506e-07,,,,6.054450572907552e-08,8.112507013243308e-08,4.673068761531101e-08,
TD01GL000017,2.0124137804469906e-07,1.2916140221498583e-07,2.397156483624165e-07,5.534963691548346e-08,8.48271193558499e-08,4.480156125128157e-08,1.4542673040762921e-08,4.545667064620719e-08,4.2494335478986604e-08,8.393238280479451e-08,3.408464103282578e-07,2.558392310173633e-07,9.238427528803109e-08,8.763597292436757e-08,1.284641774529609e-07,4.53457311050011e-08,1.1396865504049752e-07,1.2409418605367612e-07,
TD01GL000018,5.091105471094414e-07,5.198121183409501e-07,6.599900413320604e-07,1.2493469904702544e-07,1.8015658752673427e-07,2.350518359376359e-07,6.13974891872254e-08,1.4510887301857392e-07,1.6781496251405621e-07,4.936789568349167e-07,5.947377847123028e-07,5.959379035510041e-07,3.659449045390618e-07,4.657043118486991e-07,5.465687841055194e-07,2.8053991895503893e-07,4.6372142880917906e-07,4.816141948482299e-07,
TD01GL000020,1.679025374173502e-06,7.981898313740295e-07,9.254072560920901e-07,4.972855992476799e-07,4.514925766930733e-07,5.756599592378094e-07,3.963466237517746e-07,5.813011046818707e-07,3.7076511477578656e-07,1.0547503765677353e-06,1.0151221522714575e-06,9.841055371579887e-07,1.0034939548045971e-06,4.432740273605772e-07,8.553118854618392e-07,5.600486313687051e-07,7.090357733375128e-07,8.273364707047484e-07,
TD01GL000021,1.9195603525633226e-07,1.2848524423297063e-07,2.443678119351911e-07,6.04932765901638e-08,5.2336948857043173e-08,4.370625151608999e-08,5.258738470164038e-08,1.0876423793308851e-07,1.2554252772894536e-07,1.546543198798219e-07,2.9158402449428174e-07,3.070125885445165e-07,3.0408065465245757e-07,1.7912870601753624e-07,1.621957532753643e-07,1.754532507177549e-07,1.8519267028051415e-07,1.6059900609745208e-07,
TD01GL000022,,,,,,,1.0961453567491638e-09,1.2606963058198297e-08,1.0754941470169128e-08,,,,,,,1.9570711760874878e-08,1.2425092195194782e-08,2.916514944536029e-09,
TD01GL000023,9.270849902682602e-08,1.0943344713244197e-07,1.3658373102535488e-07,,,,1.844815452063274e-08,3.19702396257276e-08,4.426731819865225e-08,1.3629405749318844e-07,3.369125515403629e-07,1.0391247122080641e-07,4.955132625673483e-08,4.317606121740734e-08,2.195996271417837e-07,1.2178450939147242e-07,2.1826695319849732e-07,1.8087065825680258e-07,
TD01GL000024,1.5453590979663826e-07,2.9121181158788335e-07,2.606235345993342e-07,4.1718058124126996e-08,8.059246278349026e-08,4.7112525932597725e-08,4.6454263175434706e-08,8.228577185363744e-08,7.266994238035312e-08,1.1999348877142766e-07,5.390257020072487e-07,5.589632589614635e-07,2.8852648369482547e-07,6.771443604010627e-08,2.716757478208865e-07,3.5479011243423753e-07,5.6396870530101194e-08,1.503216769378722e-07,
TD01GL000025,3.8284424428125654e-07,1.5406790914183626e-07,2.3808282438948271e-07,3.7543998947878104e-08,5.053831507765815e-08,1.0614983255039479e-08,9.184950740525695e-08,1.1921873068762604e-07,8.637029869240182e-08,2.5400832545960177e-07,2.492245349792364e-07,3.228476603679874e-07,3.551825321556738e-07,3.5138434908298214e-07,2.6200360982862047e-07,1.269523494095247e-07,3.3112607118307364e-07,2.9446419406300546e-07,
TD01GL000026,1.8334639239435967e-07,1.5636293265603154e-07,3.2530565166774264e-07,1.1600705976124804e-08,2.0636288690833146e-08,1.9233525147430465e-08,1.4090259776211579e-08,3.232178888875718e-08,3.9345113586224236e-08,1.863995080296606e-07,2.8483335198657397e-07,3.137752832894579e-07,,,,1.1379177324620518e-07,1.2274573958753745e-07,6.199918584748898e-08,1.04e-07
TD01GL000027,1.8767436040898753e-07,2.430771500009395e-07,4.18501145784122e-07,6.179657972028835e-08,6.257294130219165e-08,7.19185813070337e-09,4.451479289481609e-08,8.836304598964403e-08,7.792962809846864e-08,2.5932747832614436e-07,5.278956991811925e-07,6.265322683370636e-07,8.167283349000208e-08,1.6741896629879564e-07,4.4721630799078974e-08,1.1387923089349123e-07,6.386403910501136e-08,1.0448926274087349e-07,1.0199999999999999e-07
TD01GL000028,2.4137010044237533e-07,3.792073454456606e-07,2.7774483177848236e-07,1.0161314969053757e-07,7.021056655425336e-08,9.239881553010371e-08,7.135635038546977e-08,1.073737730201056e-07,1.3815591736457542e-07,3.9077713769996315e-07,4.469227963957415e-07,4.653358210910543e-07,3.509791568000902e-07,4.3197732574257967e-07,4.2239393653394056e-07,2.0638275832928276e-07,4.659114896038245e-07,5.254729996310946e-07,7.17e-08
TD01GL000029,,,,,,,4.915571757692896e-09,5.206108262567276e-09,2.314928650147361e-08,,,,,,,,,,
TD01GL000030,,,,,,,,,,,,,,,,,,,8e-07
TD01GL000031,1.5930038219168168e-06,1.6363750794689948e-06,1.6385120787649993e-06,8.469562382874491e-07,1.1265686488318125e-06,1.259083549089594e-06,4.881054552185342e-07,6.526913760537384e-07,5.505620604549342e-07,1.6518431858520341e-06,1.6574079688725055e-06,2.331073454271624e-06,1.4667061689962871e-06,6.231944462088197e-07,1.0223765841742575e-06,7.497303454993108e-07,1.1907301483800548e-06,6.668802256102868e-07,1.2699999999999999e-07
TD01GL000032,2.5669453526369184e-05,1.7422288748116143e-05,1.7127806156899266e-05,4.938594381803442e-06,5.18703848171253e-06,5.649641868646232e-06,6.702739437131068e-06,6.090792473121245e-06,5.560786996261748e-06,1.980653480870404e-05,1.805858951149667e-05,2.08855310221952e-05,1.9423861978204634e-05,1.3848604938272923e-05,1.680477848331533e-05,7.262046125761084e-06,1.4942628795532183e-05,1.3289693719998634e-05,3.82e-07
TD01GL000033,1.7292366065839038e-07,1.3338989265197358e-07,2.9365127425803625e-07,,,,2.4427968854220543e-08,4.885429766669142e-08,5.244739702394572e-08,1.347924754638631e-07,2.9571077607343553e-07,2.446706463171911e-07,1.337215593862337e-07,1.9853893097287887e-07,2.6906051188165373e-07,1.2804774256014355e-07,2.2989378748351725e-07,2.2114101614419588e-07,
TD01GL000035,4.986192239022784e-08,2.481563452431615e-08,5.660766920773934e-08,2.7675223522762053e-08,4.116440516338075e-08,2.6617080398174755e-08,2.946028578197769e-08,1.91486023732753e-08,5.44177171364714e-08,4.107992648126244e-08,9.68237002549811e-08,8.126463506696928e-08,1.0339346253521855e-07,1.0126769405854633e-07,1.3054439726300475e-07,7.347858634976656e-08,6.715501654392926e-08,1.180652661240657e-07,
TD01GL000036,9.282437350589766e-07,8.650588250131033e-07,1.2405546739299768e-06,3.8490791068686596e-07,3.576128492871608e-07,3.5908383126713723e-07,2.3692112841382e-07,3.477591982394045e-07,3.3772697532195953e-07,7.743201978301072e-07,1.1849055856848235e-06,1.2637716206873874e-06,1.04862479554416e-06,9.063323553055283e-07,9.755306293414064e-07,8.430615028158302e-07,1.0938745313398974e-06,1.008515755416919e-06,2.0899999999999998e-07
TD01GL000038,7.428134926023609e-08,3.244473221327329e-08,7.234025754470597e-08,,,,3.384456984916049e-09,6.552957850980806e-08,3.7180849643135304e-08,3.3606424920190335e-08,8.654455855728027e-08,8.052409832620284e-08,1.0006492871627376e-07,36.0,7.480036778308468e-08,5.364273109992715e-08,4.2291296993697595e-08,5.041482838539635e-08,
TD01GL000039,5.313631910762715e-07,6.137645734112818e-07,7.096137741962287e-07,1.4564144845476356e-07,1.0876933561960648e-07,1.308522462406588e-07,1.3174948668587967e-07,1.7072353087908253e-07,1.8374046321151092e-07,5.146942339385246e-07,8.259530151220004e-07,8.539906557672632e-07,5.299527518726577e-07,4.457479232365645e-07,4.866368656862628e-07,3.0938296525966694e-07,4.182383445237273e-07,2.7348686600105075e-07,
TD01GL000041,1.153069189732789e-07,3.7995802084994126e-08,2.094302784872932e-07,,,,8.829888553554793e-09,1.9288468322719567e-08,2.0000783790570047e-08,1.3885984884005625e-07,1.395248504569718e-07,2.55368159852944e-07,1.3461265131506298e-07,1.5955414299665527e-07,5.1553805772217664e-08,7.917130068152826e-08,1.4934334015996517e-07,6.885259045913603e-08,
TD01GL000042,,,,1.812964018876877e-08,8.103507689837459e-09,1.5990951221469567e-08,,,,,,,,,,,,,
TD01GL000043,3.5363565045512783e-07,3.469328008504746e-07,6.096736976542311e-07,6.468128529489068e-08,6.803380780554432e-08,5.288329309753372e-08,6.288280548186058e-08,4.322317562848922e-08,4.994092494242219e-08,2.3691239670042566e-07,3.7688744446551075e-07,4.6107729972466495e-07,3.4626639303734365e-07,4.860065011920922e-07,3.4069882389323467e-07,1.8178247754243158e-07,4.274498592571254e-07,2.563964560883829e-07,
TD01GL000044,5.654001279130203e-07,5.751501948003577e-07,8.132280266114925e-07,4.924065254328268e-07,6.07140962144707e-07,5.219677129921518e-07,2.9826658315452727e-07,4.819304034258694e-07,5.843171000014482e-07,6.048743076755848e-07,3.061853133334782e-07,6.38031468022185e-07,1.1577931953147053e-06,4.4133124065545145e-07,2.148059906397893e-07,4.612702956414198e-07,2.705604038630175e-07,2.5490412544874775e-07,
TD01GL000045,4.863906411855917e-07,3.062976896377892e-07,4.779176869102524e-07,,,,,,,2.549225993970582e-07,4.867122501197923e-07,4.292726284100432e-07,1.08663101469188e-07,1.8862809026044762e-07,3.6988133709967985e-07,1.0670872316416063e-07,1.9435644044574043e-07,1.3406285032332628e-07,
TD01GL000048,3.975074720523103e-06,4.428686509696131e-06,4.3510233327200406e-06,1.2959363431181143e-06,1.4756105402887137e-06,1.2186236500525098e-06,1.7221698939430407e-06,1.574949643886001e-06,1.6352151125862868e-06,4.293234021375437e-06,4.836275779347629e-06,5.600528845821587e-06,3.669102401695871e-06,2.99679446019956e-06,3.366773183647363e-06,2.3981629105430427e-06,3.420414735132251e-06,3.5929581535573747e-06,6.41e-07
TD01GL000049,3.0445658037094695e-06,2.82514944245112e-06,2.8355338511075608e-06,1.0824269181171938e-06,9.372996391247457e-07,1.1657902564663166e-06,1.2702677296182966e-06,1.3193299666655846e-06,1.1415363522000867e-06,2.8551914759472665e-06,3.2884649566133453e-06,2.8554157088230183e-06,2.541879459071113e-06,1.8896535940301136e-06,2.602085093898132e-06,1.6108072847624648e-06,2.131484626344995e-06,1.4150161875687303e-06,8.440000000000001e-07
TD01GL000050,1.4352911592272819e-08,3.471671049179601e-08,2.4779551437007998e-08,5.483841625675487e-09,3.226759268418618e-08,1.268335281574481e-08,6.794200831400079e-09,1.030916576810255e-08,2.335734907157336e-08,2.1722700623947354e-08,2.520509734697931e-08,3.863847494026449e-08,,,,,,,
TD01GL000053,1.5292866392996672e-06,1.1154454668032906e-06,1.3535434160777487e-06,1.4918932173986727e-06,1.3023722557111344e-06,1.3799649610566817e-06,1.1247974158073842e-06,1.1040514027729513e-06,1.1250627044800083e-06,2.145248232635177e-06,1.9302128831309e-06,2.7417065944641693e-06,2.6206632062870267e-06,3.6593760283636953e-07,6.520071032515536e-07,1.3747211519590015e-06,5.164292486025536e-07,4.828838631172682e-07,3.79e-07
TD01GL000054,2.678727730445917e-06,2.462710189255597e-06,2.1466466985066452e-06,1.7491714782981213e-06,1.8857136096863266e-06,2.034755777094174e-06,1.026336504085295e-06,1.1888350359603197e-06,1.0637315359693098e-06,2.009006189789122e-06,2.578994961939649e-06,3.098924692866014e-06,2.5013921070256356e-06,1.3973375721375275e-06,1.4371092316881367e-06,9.355850257772758e-07,1.3154622225125938e-06,1.3550073699153621e-06,3.2600000000000003e-07
TD01GL000058,5.649230944890356e-07,5.690144936332983e-07,6.52979776226918e-07,7.335578598604081e-07,7.285105264870592e-07,8.136890379577956e-07,6.593687191050695e-08,6.566465352852099e-08,7.551373238889624e-08,6.45999224971272e-07,7.359434407659329e-07,7.562052253763558e-07,1.09077246755525e-06,3.520429638937526e-07,5.090018611937147e-07,8.873181526683348e-07,9.422522112706059e-07,6.33874536953359e-07,1.1e-07
TD01GL000060,1.6185069190626864e-06,1.5377435326335314e-06,1.5781204515714355e-06,1.5874559607742863e-07,1.3765587185798766e-07,1.7555769194560578e-07,1.030445138185337e-07,1.3596284712226382e-07,9.02407430224045e-08,9.784643148952966e-07,1.3304012491548014e-06,1.6987127545008775e-06,2.4249758520555177e-06,1.552709661471672e-06,1.1386728534907384e-06,1.668652803955656e-06,9.212813524650355e-07,1.2152463594635775e-06,2.19e-06
TD01GL000062,7.775842085310664e-07,8.302973008861027e-07,7.556972092303428e-07,1.973095663142684e-07,2.2658549526316865e-07,1.2428925059082072e-07,2.591748304014879e-07,3.3361717379305366e-07,4.2160364392128004e-07,7.114688801966574e-07,1.0780443721262843e-06,1.2939411057417092e-06,,,,,,,
TD01GL000063,7.596629191476277e-07,7.064363937207948e-07,9.943939510519332e-07,6.203089182541173e-07,4.810407751360346e-07,5.209180252501805e-07,5.152038049042349e-07,5.59851202792444e-07,5.748041153504086e-07,1.0407835979987736e-06,1.3626464203063427e-06,1.5039861187511268e-06,1.438790580786538e-06,4.194227137060905e-07,3.8626205344601563e-07,8.686036519866432e-07,5.987974785235303e-07,3.3023671214453686e-07,1.6100000000000003e-07
TD01GL000065,,,,,,,4.966738556272163e-08,1.7874435453270277e-07,1.6336094595541935e-07,2.3515971529728955e-07,2.3685255054285983e-07,2.723083166532036e-07,1.367067434116066e-07,1.4572409548097081e-07,3.812129141852631e-08,4.465863494891775e-08,5.038904677018922e-08,1.1429870629489237e-07,
TD01GL000067,4.686450012860153e-08,4.4210226767936835e-08,3.71300633977897e-07,,,,9.737952486039298e-09,1.5666857995757925e-08,1.9856245968922737e-08,4.6528569729023944e-08,7.591164169305757e-08,3.4357889865781555e-08,3.627789605248668e-08,6.69735244755239e-08,2.5940148127477033e-08,5.971018334967962e-08,7.97612134793959e-08,5.348066847320817e-08,1.35e-07
TD01GL000069,5.913976025767023e-08,6.297269850513553e-08,8.049991840397818e-08,2.991064200848947e-08,3.7110711970326273e-08,2.384522296380438e-08,3.1559825037693515e-08,1.8273877251501998e-08,2.2328367044352337e-08,4.3597776051014074e-08,1.1010739215185125e-07,9.596037871776864e-08,1.1178626142903234e-07,6.6417025254082e-08,1.1533420101761148e-08,1.0505882431790413e-07,8.118362881046653e-08,7.816301576107815e-08,
TD01GL000070,3.55228764091703e-07,1.7563701478297123e-07,3.5080538645116606e-07,1.9861944250684678e-07,1.6650922803859313e-07,1.6281768323866205e-07,2.7758405555741264e-08,8.226840603834284e-08,1.0971718681598431e-07,5.003661835816851e-07,1.2120598156314311e-06,9.53810188008922e-07,1.2113765821316335e-06,2.9007137674114305e-07,6.715278214133462e-07,8.847910849535719e-07,6.830933421669355e-07,6.091025053373932e-07,1.1e-07
TD01GL000073,4.7261362225702614e-08,2.05488438363586e-08,7.057209603490782e-08,,,,7.626469932006138e-09,1.628801357935643e-08,2.858568698929255e-08,3.21855935656581e-08,6.906730769440936e-08,4.704578231486858e-08,1.3530038006904513e-07,8.600326795435488e-08,1.0639967375480582e-07,9.78841780265483e-08,8.504824245111117e-08,6.886296962032938e-08,
TD01GL000074,,,,,,,7.875343402922703e-09,1.2753579387377563e-08,3.710459734893314e-08,,,,,,,,,,
TD01GL000075,3.26773629384246e-07,4.957859820778173e-07,9.361551757732756e-07,1.0481090155509185e-07,7.700117606783653e-08,6.88105680922063e-08,6.213576985170346e-08,1.5352700144634152e-07,1.282482116227783e-07,4.343658509355273e-07,1.0048811063435868e-06,4.666570457508623e-07,2.2838420768548878e-07,5.104568037393394e-07,4.2771395531463765e-07,1.9808031248570903e-07,4.5156914366410234e-07,2.9906776250106057e-07,
TD01GL000076,3.7161325411660215e-08,1.1085780937410135e-08,6.309478088748256e-08,,,,,,,,,,,,,3.291532920986323e-08,2.7696085003155634e-08,1.3059126607424017e-08,
TD01GL000078,,,,1.0684998912778348e-07,6.110398864890225e-08,7.291322395220311e-08,,,,,,,,,,,,,
TD01GL000080,6.624973106264268e-08,9.018236967998296e-08,6.233353526514462e-08,4.941595889284309e-07,2.742771970580134e-07,3.815197189199395e-07,4.4572807619670735e-08,8.31784354822962e-08,1.0235438286309971e-07,1.2367430066428072e-07,2.6804310053270223e-07,2.154554670122843e-07,,,,1.1016046659929057e-07,7.754748763272887e-08,2.2346319368410197e-08,
TD01GL000081,2.3349388565465927e-06,1.2524398974842543e-06,1.683749848440845e-06,2.9647647482563956e-06,2.4969113070103836e-06,3.049529780561037e-06,6.192765126010241e-07,6.824515950911912e-07,6.32274178777102e-07,2.8349539602035656e-06,2.6519314410532936e-06,3.672046660561877e-06,4.95131510098057e-06,1.319928487654048e-06,2.326690229877052e-06,2.1664163243524496e-06,1.7468593865722347e-06,2.2187825635303157e-06,1.12e-07
TD01GL000082,9.02451295496866e-08,4.453857715633913e-08,6.611305810164123e-08,7.361977776395637e-08,2.813923755136309e-08,3.86217890901981e-08,1.5121316433011076e-08,1.750972514424133e-08,3.286679426496916e-08,6.025786030189312e-08,1.8480122994934314e-07,1.586131804866369e-07,2.9796322612810124e-08,8.713917203751797e-08,2.7692155668214482e-08,2.7383154079204116e-08,6.623914159672026e-08,2.2611034262759395e-08,
TD01GL000084,1.7122828180165503e-07,2.0579262173999006e-07,1.981144837263581e-07,1.774962413990633e-07,1.6838049524000983e-07,1.3597592206190978e-07,3.487708316122946e-08,8.451938949176707e-08,1.0762293056357968e-07,2.209998484061395e-07,2.7198978767418074e-07,3.6788271324480303e-07,2.4745656046851286e-07,1.3880045411892714e-07,9.324652386762231e-08,1.51800219123751e-07,1.4748679395322792e-07,7.666572334075713e-08,
TD01GL000085,,,,3.5706139979301003e-08,4.6321884891628675e-08,4.264968649158893e-08,6.783710872746148e-09,2.051947759711338e-08,5.1709803408788805e-08,,,,,,,,,,
TD01GL000087,2.434484286997339e-07,9.204517260641336e-08,4.5854427063205615e-07,6.72160035146422e-08,6.822318069196203e-08,7.018137800689193e-08,8.146361989995772e-09,2.1290221951688363e-08,4.52564156804748e-08,1.0202571489106332e-07,1.81085286418603e-07,1.9263303603547684e-07,2.765643010973514e-07,3.3716913680607344e-07,1.9491326749972962e-07,2.906907009407946e-07,2.2411802710066202e-07,1.8192708228385391e-07,
TD01GL000088,5.2157373441913214e-08,1.4510433151527032e-08,3.2820346478396363e-08,3.6111530675743604e-08,2.0484715131585205e-08,3.1323265877152794e-08,3.813395162483661e-09,2.0550205000390695e-08,1.8641307369262835e-08,4.606824444370336e-08,4.527169339929688e-08,6.204435422931545e-08,2.2679383470879695e-07,7.270080955958997e-07,1.2497888062432687e-07,2.4908168995559016e-07,1.0968164110672668e-07,1.8452608413608906e-07,
TD01GL000093,7.678962415224581e-07,5.894754704350407e-07,8.318391762335165e-07,8.433088274347507e-07,8.114206078063272e-07,3.7081454031341244e-07,2.2013763460066971e-07,4.038467141427873e-07,4.164992089362086e-07,6.514339948499549e-07,9.214243454919461e-07,1.0441856279473936e-06,1.100844897852902e-06,9.599483209161676e-07,6.714377611592748e-07,4.2440166240598724e-07,5.872939786817782e-07,7.007611575140022e-07,
TD01GL000094,6.870521368555461e-08,7.516778016345275e-08,8.190799375640477e-08,3.087217816319412e-07,2.833241744775987e-07,2.4146798669062546e-07,5.839317713608326e-08,1.0008015752124099e-07,1.3498151955427548e-07,1.6286063704948814e-07,1.7820766159942803e-07,1.519004654013033e-07,4.086907266616656e-07,1.6232157970534265e-07,5.686303221591834e-08,2.639336458587712e-07,1.010037166905312e-07,8.359918699631145e-08,
TD01GL000095,5.468617301766419e-07,4.233261295283071e-07,5.67322272747797e-07,7.392001565541083e-07,6.804772733754839e-07,7.431522885858983e-07,1.8439819268159115e-07,2.705626624834795e-07,2.6176319162876507e-07,6.34851551583611e-07,8.54426385105806e-07,9.771909971230735e-07,1.073613137329487e-06,7.021797118239733e-07,4.3737266827628827e-07,6.027630365114799e-07,6.057512040958698e-07,4.2483679472603514e-07,
TD01GL000100,3.5832970798716856e-08,6.188340715122681e-08,1.0965507930071581e-07,1.9798325816763046e-07,2.0263942743774084e-07,7.846204970681473e-08,1.1922848055206783e-08,1.3281500939442975e-08,6.881789857344713e-08,1.296847964441308e-07,1.4031749238106674e-07,1.0169813053097811e-07,,,,,,,
TD01GL000101,,,,9.80156480477143e-08,9.792399253771098e-08,8.187020367342957e-08,2.911656569482648e-09,2.1840501097720915e-09,5.19286027946242e-09,7.162705383576564e-09,1.343280613805012e-08,7.656974917366906e-09,,,,,,,
TD01GL000102,2.437052077144961e-08,7.489602463200531e-09,4.0841117701573226e-08,2.1707335176598947e-07,1.9885179865237135e-07,2.1841102878277505e-07,1.2973036717996327e-08,3.235406238601791e-08,3.976737514635196e-08,4.073655060006336e-08,7.767308027754806e-08,2.3064027846251883e-08,2.2814605895485768e-07,2.2047832262195683e-08,2.0081695820748608e-08,1.682889872099549e-07,6.079958721522431e-08,3.198354117619868e-08,
TD01GL000103,2.3976929067090674e-07,2.003729286167599e-07,8.528365760704477e-08,1.6680886535796293e-07,1.823991646707202e-07,1.8729927962614655e-07,4.831972816401657e-08,4.963772554938744e-08,5.29891689830959e-08,4.440005905909752e-08,3.7800475802984947e-07,1.0594049082124696e-07,,,,,,,
TD01GL000104,4.226229467428758e-08,4.271037410246087e-08,4.169840302405361e-08,2.6850904192143683e-07,2.6360514528021267e-07,2.7694637993297047e-07,8.887659743334013e-09,3.080024320377528e-08,3.500934271299401e-08,3.3648270977005625e-08,9.221575229266698e-08,7.415162846635768e-08,1.6420534673084104e-07,7.373657516969898e-08,2.1800699630843032e-08,9.093753870464395e-08,4.852718630820128e-08,5.603045040071095e-09,
TD01GL000108,8.412231047802673e-08,1.032683856333376e-07,1.495208235920702e-07,1.2872981024449798e-07,1.258960454605025e-07,7.629769681580281e-08,9.087266276810815e-09,5.948254438507425e-08,5.535914724134932e-08,8.245003198727865e-08,1.6952776057275527e-07,1.3450427972576724e-07,2.3348326881767774e-07,7.069776800849875e-08,6.163846917091663e-08,1.9301255480960257e-07,1.1834669200960394e-07,7.743986327252407e-08,
TD01GL000109,1.1080487046570048e-07,8.811085928863786e-08,1.6808269202395068e-07,8.578613022980473e-08,6.236003407245217e-08,5.4994788235471e-08,2.6981072273611185e-08,3.054599787440567e-08,4.1554079292687594e-08,1.5084799761015488e-07,2.8861223174037846e-07,2.9121284361108913e-07,7.202291063447593e-07,6.824877503874138e-08,2.14183217220397e-08,3.8165667723514456e-07,9.399178440544687e-08,2.9596638029945868e-08,
TD01GL000110,3.0958924779329964e-07,8.972086404545045e-08,3.252580815012139e-07,4.154330941811535e-08,1.0156657635744267e-07,1.2121882002663e-07,3.912582550267733e-08,5.043856730443795e-08,2.3109203556509008e-08,3.158042775543314e-07,1.912976628748046e-07,3.0209199915191036e-07,1.027932625172911e-06,2.787475483122188e-07,1.196048732536229e-07,5.037736157512717e-07,2.857022546985302e-07,7.66666641032031e-08,
