,Ptot
NACL60,0.1665974908680085
NACL20,0.050101528955792264
NACL100,0.04213979755819256
HN,0.16669320203644725
Fermentation-9h,0.09850966848483295
Fermentation-19h,0.10292147559787088
Fermentation-30h,0.12114702329149071
MU,0.31
