,NACL60,NACL20,NACL100,HN,Fermentation_9h,Fermentation_19h,Fermentation_30h,MU
TD01GL000018,5.629709022608173e-07,1.8004770750379852e-07,1.2477377490661852e-07,5.614515483660744e-07,3.232424117470504e-07,4.6471287032893907e-07,5.140914894768747e-07,
TD01GL000020,1.1342074872132071e-06,5.081460450595209e-07,4.4947094773647737e-07,1.017992688665727e-06,7.817712930866511e-07,5.76154900349045e-07,8.413241780832938e-07,
TD01GL000021,1.8826969714149798e-07,5.217882565443232e-08,9.563138345455808e-08,2.5108364430620673e-07,2.3976695268510623e-07,1.821606881490252e-07,1.613973796864082e-07,
TD01GL000022,,,8.152683295038862e-09,,,,,
TD01GL000023,1.1290855906154095e-07,,3.1561904115004195e-08,1.923730267514526e-07,8.566791782410362e-08,1.3072150720795234e-07,2.0023514269929315e-07,
TD01GL000024,2.3545708532795195e-07,5.647434894673833e-08,6.713665913647508e-08,4.059941499133799e-07,3.2165829806453147e-07,6.205565328510373e-08,2.1099871237937934e-07,
TD01GL000025,2.583316592708585e-07,3.289909909352524e-08,9.914617892842826e-08,2.753601736022752e-07,2.4106744078259926e-07,3.4125521013302786e-07,2.7823390194581296e-07,
TD01GL000026,2.2167165890604463e-07,1.7156839938129472e-08,2.8585720750397664e-08,2.6166938110189745e-07,,,,1.04e-07
TD01GL000027,2.8308421873134965e-07,4.385379305106112e-08,7.026915566097626e-08,4.7125181528146683e-07,9.777603219174666e-08,1.156415027019035e-07,7.460544676997623e-08,1.0199999999999999e-07
TD01GL000028,2.9944075922217276e-07,8.807417725829822e-08,1.0562868025671694e-07,4.343452517289196e-07,2.786809575646865e-07,4.489444076732021e-07,4.7393346808251757e-07,7.17e-08
TD01GL000029,,,1.1090322173911262e-08,,,,,
TD01GL000030,,,,,,,,8e-07
TD01GL000031,1.622630326716937e-06,1.0775361454029518e-06,5.637862972424023e-07,1.8801082029987212e-06,1.108218257247799e-06,9.069622972944372e-07,8.446284048922722e-07,1.2699999999999999e-07
TD01GL000032,2.007318281046153e-05,5.258424910720735e-06,6.118106302171352e-06,1.958355178079864e-05,1.334295405198286e-05,1.4395616866902553e-05,1.5047236101656983e-05,3.82e-07
TD01GL000033,1.9998827585613339e-07,,4.19098878482859e-08,2.250579659514966e-07,1.3088465097318863e-07,2.1421635922819806e-07,2.451007640129248e-07,
TD01GL000035,4.3761742040761114e-08,3.181890302810585e-08,3.4342201763908124e-08,7.305608726773761e-08,8.843602444249255e-08,8.42113553012378e-08,1.2430483169353522e-07,
TD01GL000036,1.0112857446673522e-06,3.6720153041372133e-07,3.074691006583947e-07,1.0743324680674394e-06,9.458431491799952e-07,1.0001034433227128e-06,9.920231923791627e-07,2.0899999999999998e-07
TD01GL000038,5.968877967273845e-08,,3.53649617126198e-08,6.689169393455781e-08,7.685382990810046e-08,36.0,6.260759808424051e-08,
TD01GL000039,6.182471795612607e-07,1.284210101050096e-07,1.6207116025882436e-07,7.315459682759294e-07,4.1966785856616234e-07,4.3199313388014593e-07,3.800618658436568e-07,
TD01GL000041,1.2091099984852207e-07,,1.6039713555614803e-08,1.7791761971665733e-07,1.0689197599829562e-07,1.544487415783102e-07,6.020319811567684e-08,
TD01GL000042,,1.4074699700025264e-08,,,,,,
TD01GL000043,4.367473829866112e-07,6.186612873265624e-08,5.2015635350924e-08,3.582923802968671e-07,2.640244352898876e-07,4.5672818022460884e-07,2.985476399908088e-07,
TD01GL000044,6.512594497749569e-07,5.405050668565619e-07,4.548380288606149e-07,5.163636963437494e-07,8.095317454780625e-07,3.559458222592345e-07,2.3485505804426853e-07,
TD01GL000045,4.235353392445444e-07,,,3.903024926422979e-07,1.076859123166743e-07,1.9149226535309404e-07,2.519720937115031e-07,
TD01GL000048,4.251594854313092e-06,1.3300568444864459e-06,1.644111550138443e-06,4.910012882181551e-06,3.033632656119457e-06,3.2086045976659057e-06,3.479865668602369e-06,6.41e-07
TD01GL000049,2.9017496990893836e-06,1.061838937902752e-06,1.243711349494656e-06,2.999690713794543e-06,2.076343371916789e-06,2.010569110187554e-06,2.0085506407334312e-06,8.440000000000001e-07
TD01GL000050,2.4616391173692274e-08,1.6811595708535492e-08,1.3486905223691998e-08,2.8522090970397054e-08,,,,
TD01GL000053,1.3327585073935687e-06,1.3914101447221628e-06,1.1179705076867813e-06,2.2723892367434154e-06,1.9976921791230142e-06,4.4118342571946155e-07,5.674454831844109e-07,3.79e-07
TD01GL000054,2.4293615394027196e-06,1.8898802883595407e-06,1.092967692004975e-06,2.562308614864928e-06,1.7184885664014557e-06,1.3563998973250605e-06,1.3960583008017493e-06,3.2600000000000003e-07
TD01GL000058,5.956391214497506e-07,7.585858081017544e-07,6.903841927597473e-08,7.127159637045201e-07,9.890453101117923e-07,6.471475875821792e-07,5.714381990735369e-07,1.1e-07
TD01GL000060,1.578123634422551e-06,1.573197199603407e-07,1.09749367987734e-07,1.3358594395169918e-06,2.046814328005587e-06,1.2369955069683537e-06,1.176959606477158e-06,2.19e-06
TD01GL000062,7.87859572882504e-07,1.8272810405608592e-07,3.381318827052738e-07,1.0278181193548836e-06,,,,
TD01GL000063,8.201644213067853e-07,5.407559062134442e-07,5.499530410156959e-07,1.3024720456854146e-06,1.1536971163865907e-06,5.091100961148104e-07,3.5824938279527627e-07,1.6100000000000003e-07
TD01GL000065,,,1.3059089535028126e-07,2.481068608311177e-07,9.068268918026218e-08,9.805657112558001e-08,7.620999885670933e-08,
TD01GL000067,1.5412512029147846e-07,,1.5087018816906653e-08,5.2266033762621025e-08,4.7994039701083144e-08,7.33673689774599e-08,3.9710408300342604e-08,1.35e-07
TD01GL000069,6.753745905559465e-08,3.028885898087337e-08,2.4054023111182616e-08,8.322184897354464e-08,1.0842254287346823e-07,7.380032703227427e-08,4.484821793141965e-08,
TD01GL000070,2.9389038844194677e-07,1.75982117928034e-07,7.32479994700228e-08,8.887453957406795e-07,1.0480838335426028e-06,4.865823594540393e-07,6.403151633753697e-07,1.1e-07
TD01GL000073,4.612743403232301e-08,,1.7500056833551706e-08,4.943289452497868e-08,1.1659227904779671e-07,8.552575520273303e-08,8.76313216875676e-08,
TD01GL000074,,,1.9244506713077803e-08,,,,,
TD01GL000075,5.862382624117796e-07,8.35408819050449e-08,1.146369943069411e-07,6.353013343433255e-07,2.132322600855989e-07,4.810129737017209e-07,3.6339085890784913e-07,
TD01GL000076,3.71139624121843e-08,,,,,,,
TD01GL000078,,8.028906724296296e-08,,,,,,
TD01GL000080,7.292187866925675e-08,3.8331883496879454e-07,7.670187532168888e-08,2.0239095606975576e-07,,,,
TD01GL000081,1.757042867490564e-06,2.837068611942605e-06,6.446674288231058e-07,3.052977353939579e-06,3.55886571266651e-06,1.5333939371131415e-06,2.272736396703684e-06,1.12e-07
TD01GL000082,6.696558826922232e-08,4.679360146850585e-08,2.1832611947407188e-08,1.3455742357929105e-07,2.8589738346007118e-08,7.668915681711912e-08,2.515159496548694e-08,
TD01GL000084,1.9171179575600106e-07,1.6061755290032766e-07,7.56731344055254e-08,2.869574497750411e-07,1.9962838979613193e-07,1.4314362403607753e-07,8.495612360418972e-08,
TD01GL000085,,4.155923712083954e-08,2.6337663959549445e-08,,,,,
TD01GL000087,2.646792906460678e-07,6.854018740449872e-08,2.4897666540719647e-08,1.585813457817144e-07,2.83627501019073e-07,2.8064358195336774e-07,1.8842017489179177e-07,
TD01GL000088,3.3162717690612196e-08,2.93065038948272e-08,1.4334969177379063e-08,5.1128097357438554e-08,2.3793776233219357e-07,4.1834486835131316e-07,1.5475248238020798e-07,
TD01GL000093,7.297369627303384e-07,6.7518132518483e-07,3.4682785255988855e-07,8.723479894297649e-07,7.626232801294447e-07,7.73621149798973e-07,6.860994593366386e-07,
TD01GL000094,7.526032920180404e-08,2.778379809333884e-07,9.78182847371999e-08,1.6432292135007317e-07,3.363121862602184e-07,1.316626481979369e-07,7.02311096061149e-08,
TD01GL000095,5.125033774842487e-07,7.209432395051636e-07,2.3890801559794524e-07,8.221563112708302e-07,8.381880869204835e-07,6.539654579599216e-07,4.311047315011617e-07,
TD01GL000100,6.912381908355315e-08,1.596949117707287e-07,3.134074918936563e-08,1.239001397853919e-07,,,,
TD01GL000101,,9.260328141961828e-08,3.4295223195723865e-09,9.417495479664529e-09,,,,
TD01GL000102,2.4233746978741123e-08,2.114453930670453e-07,2.8364824750122064e-08,4.715788624128776e-08,1.982175230824063e-07,4.142370973871e-08,2.6032618498473645e-08,
TD01GL000103,1.751419589649038e-07,1.7883576988494324e-07,5.0315540898833304e-08,1.7611510263673133e-07,,,,
TD01GL000104,4.222369060026735e-08,2.6968685571154e-07,2.4899081886701098e-08,6.66718839120101e-08,1.2757144271774249e-07,6.113188073895012e-08,1.3701872335457064e-08,
TD01GL000108,1.1230383990114484e-07,1.1030785084026777e-07,4.130965263441146e-08,1.288273574286004e-07,2.1324791181364016e-07,9.452223000905135e-08,6.953916622172034e-08,
TD01GL000109,1.2233280725942968e-07,6.77136508459093e-08,3.3027049813568146e-08,2.435576909872075e-07,5.50942891789952e-07,8.112027972209413e-08,2.5507479875992784e-08,
TD01GL000110,2.415227311133213e-07,8.810956860072935e-08,3.755786545454143e-08,2.697313131936821e-07,7.658531204620913e-07,2.822249015053745e-07,9.813576867841299e-08,
TD01GL000113,,,1.0247344000304902e-07,3.679773222196403e-07,,,,
TD01GL000114,2.9231030981044807e-07,,1.3250862820213251e-07,4.160073287385804e-07,3.3694437523690256e-07,3.225824947891106e-07,2.35243614264277e-07,
TD01GL000116,5.500758652640963e-08,4.585577742519069e-08,2.90026640375181e-08,8.386470474437148e-08,1.825717340456978e-07,8.802293344963958e-08,7.78112701585167e-08,
TD01GL000117,6.163057720790301e-07,2.4512501456449753e-07,1.1076624809420434e-07,7.982367434912158e-07,7.645648754835048e-07,6.027810880994391e-07,4.829884782809904e-07,1.2199999999999998e-07
TD01GL000118,1.230535517323258e-06,2.791266872494551e-07,1.4987992320323677e-07,1.3668679421398995e-06,9.814750568539267e-07,1.1176248561140973e-06,8.199693725241409e-07,9.62e-07
TD01GL000119,7.910178762486593e-08,6.714439061461953e-08,,1.0489110972927816e-07,1.0531912893210333e-07,9.925590438021689e-08,6.733981645592447e-08,
TD01GL000120,,,,,,,,4.36e-08
TD01GL000121,,,,2.7906776906882798e-08,,,,
TD01GL000122,2.90569871711129e-07,2.8560866873425677e-08,3.988096027194388e-08,3.5284344232164077e-07,5.866993550981294e-07,4.245014519193411e-07,3.585615235101123e-07,1.25e-07
TD01GL000123,,1.323184888162756e-07,,2.3321273349730024e-07,,,,3.1e-08
TD01GL000124,3.7369048951220403e-06,2.7770066644330913e-07,5.397323747885049e-07,2.6395508114635566e-06,5.427539720972551e-06,3.2430838553690085e-06,5.7909761101899896e-06,5.37e-08
TD01GL000125,1.8023653599363368e-06,3.2018580146897374e-07,4.640046020828709e-07,1.7470953481132865e-06,1.6130871499956702e-06,1.6475226424885805e-06,1.3015327550857177e-06,1.2699999999999999e-07
TD01GL000128,3.711744053490112e-08,2.13903892642557e-08,1.6993317471121814e-08,3.3227574423328056e-08,5.71069405625408e-08,4.340224562698068e-08,2.475385756461554e-08,
TD01GL000131,1.1849453823631695e-07,,,1.3255515409685776e-07,8.642793910808317e-08,3.7579650035060405e-08,9.669838958694458e-08,
TD01GL000135,2.666295256756909e-07,1.4171350000476309e-07,1.1509885320573804e-07,2.9039910968986503e-07,2.137064828055983e-07,2.6621814539270687e-07,2.3089771457073805e-07,
TD01GL000136,2.215041923008311e-06,8.627859384854265e-07,4.222434656376474e-07,2.563135231375396e-06,1.4215177963601288e-06,1.348705758707305e-06,9.73818933065704e-07,
TD01GL000137,2.258510947750581e-06,6.904963375733287e-07,3.4787956673039003e-07,2.647838237013528e-06,1.016417580058686e-06,1.667303292624575e-06,1.9023769522667299e-06,4.95e-07
TD01GL000139,4.978185161507384e-07,6.481103646542324e-08,1.147913835034671e-07,4.6888039021055835e-07,2.893708737108997e-07,2.4515642087977706e-07,3.1421456846595357e-07,5.1500000000000005e-08
TD01GL000140,,,,,,,,4.4699999999999997e-08
TD01GL000141,1.495271766701271e-07,6.931466725492937e-08,7.395560424331159e-08,1.7714723380297e-07,1.5406837276753748e-07,1.676733662918171e-07,1.5659829301616876e-07,
TD01GL000143,7.352051616853329e-06,3.478315299197888e-06,,,,,,
TD01GL000145,1.2222480757962355e-07,,,1.3313083315004067e-07,,,,
TD01GL000146,1.5549826282767695e-07,5.764423852515926e-08,6.300692351515001e-08,1.4159483132354286e-07,1.035165442312455e-07,1.3792081086954098e-07,5.891346761369805e-08,
TD01GL000147,6.440358791834025e-06,1.286106056670398e-06,1.4449282359287146e-06,6.027332368064641e-06,4.341090511278368e-06,4.083856818886299e-06,6.3142552298857635e-06,1.3e-07
TD01GL000148,2.2836880906840694e-06,1.234297555494096e-06,5.40342505018182e-07,2.308334583116022e-06,1.720224827742014e-06,1.4168688461805324e-06,1.7002141724155685e-06,1.14e-06
TD01GL000154,5.455615893322288e-08,2.4373634412773273e-08,,6.702117039638918e-08,6.716168965408545e-08,4.996803502455907e-08,2.4285170127269586e-08,
TD01GL000156,3.770064588240806e-08,1.4772443466129042e-08,9.763316753941036e-09,4.3491119083616515e-08,,,,
TD01GL000157,1.257784605033237e-06,1.5565207243876168e-07,2.47248489448278e-07,1.2268280413071056e-06,6.378635705590336e-07,6.745756085635862e-07,6.24019461336674e-07,
TD01GL000159,2.1689008252547678e-07,,2.617126784642436e-08,2.5374999599499715e-07,8.63665346075364e-08,1.7248905756697227e-07,1.8929564688760764e-07,1.34e-07
TD01GL000160,5.632454915882262e-08,1.3008090077967622e-07,1.4231155117878112e-07,1.2490484525277481e-07,1.7118511377668204e-07,6.605201178805686e-08,4.348229911337702e-08,8.3e-08
TD01GL000161,1.3151953608904356e-07,3.9121962156802745e-08,2.460533550210661e-08,1.4094187139046697e-07,8.84052489106235e-08,1.46041860442501e-07,1.0326540103163623e-07,
TD01GL000164,9.207181177456982e-06,2.0292915801966355e-07,4.1103617116659464e-07,8.495784172847805e-06,2.754960680324623e-06,6.438108619763019e-06,9.446957104595032e-06,2.3399999999999998e-07
TD01GL000170,1.0842410391237018e-06,1.3512459128329584e-06,5.429214934359481e-07,1.3460133320270637e-06,1.0991560399592952e-06,8.044841457092517e-07,6.22982674455968e-07,3.11e-07
TD01GL000171,7.346773344517183e-08,4.980629298510905e-08,1.9832918448224792e-08,5.781476863439388e-08,,,,2.2000000000000002e-08
TD01GL000172,,,1.3593978913236163e-08,1.0501091424948244e-07,,,,
TD01GL000173,,,1.4462895777079775e-08,,,,,
TD01GL000174,3.07948534423424e-06,1.7509140678063996e-06,1.038834493495735e-06,3.32876826753447e-06,1.8380273083353134e-06,1.9454831935053697e-06,1.782457253821398e-06,5.37e-07
TD01GL000175,1.2476171653093851e-05,1.2268177633941997e-05,6.141418945244473e-06,1.4507060850206088e-05,9.823003041614956e-06,5.018058139843518e-06,6.078256539185926e-06,2.17e-06
TD01GL000176,2.1182406165765332e-05,1.6226651598742008e-05,9.832130104617152e-06,2.016858957330318e-05,1.8252586832697108e-05,1.3012341867574453e-05,1.3524620055296707e-05,4.1700000000000004e-07
TD01GL000177,1.8239059286142946e-05,1.69084226474031e-05,8.591217971858829e-06,1.78142076015213e-05,1.4354926770903245e-05,1.1249724591667932e-05,1.1171699252100049e-05,5.57e-06
TD01GL000178,3.0417717196467895e-05,3.5289939684368905e-05,1.2127460774383976e-05,2.756886667776568e-05,1.7246358265003395e-05,1.749621580427707e-05,1.6872042260626903e-05,4.77e-06
TD01GL000180,3.904659481920353e-06,2.602045253485563e-06,1.7232130635709897e-06,3.993892719460326e-06,3.4420704186177637e-06,2.473404590332549e-06,2.4343302411718232e-06,6.15e-07
TD01GL000181,4.384476512819671e-06,3.3909807679064396e-06,1.7185341900029766e-06,5.06459176268687e-06,3.6318174847464495e-06,2.7452588661494025e-06,2.059643277473854e-06,6.74e-07
TD01GL000182,2.0239490381446876e-05,2.381986196604793e-05,8.857006757739296e-06,2.0026728230505396e-05,1.3483416361768853e-05,1.0580622012377904e-05,9.585059219974167e-06,5.88e-07
TD01GL000183,,1.6729025446603265e-05,,,,,,2.23e-06
TD01GL000185,1.9777261327007638e-05,1.0683271802865877e-05,8.584725908131991e-06,1.965969750737907e-05,1.2639894185654519e-05,1.0243724203916745e-05,1.2292530587686045e-05,3.33e-06
TD01GL000186,,3.972629907588858e-08,6.64103807294533e-09,,3.243288485073391e-07,5.641136435910141e-07,4.1539185755701377e-07,1.1599999999999999e-05
TD01GL000187,3.289694860041739e-05,2.690428748646298e-05,1.5940369907294834e-05,,2.4259068267248767e-05,1.8892630263098616e-05,2.0638221330688275e-05,3.79e-06
TD01GL000189,1.5858286516235836e-05,1.4708316738246214e-05,6.89933930441381e-06,1.6201338569853996e-05,1.1730705514436448e-05,9.333805756981675e-06,8.440691669368207e-06,3.34e-07
TD01GL000190,1.8602427246249053e-05,1.9680263590694734e-05,1.015827958087351e-05,1.819564938065886e-05,1.589741676457706e-05,1.0569413566380118e-05,9.099235228929128e-06,6.74e-07
TD01GL000191,,,,,,,,1.4999999999999999e-05
TD01GL000192,1.6633022284299265e-05,2.06739068401478e-05,7.251229434164324e-06,1.678579490059033e-05,1.3043608480458753e-05,9.839546952356805e-06,8.807541000066887e-06,2.97e-06
TD01GL000193,1.4089129996223664e-05,1.326653305039409e-05,7.40774894538312e-06,1.4343640042113306e-05,1.187681009720615e-05,7.760884300706995e-06,9.160866162444444e-06,1.73e-06
TD01GL000194,1.7624226209807074e-05,1.2090348845984142e-05,7.342345965343048e-06,1.7031692696163128e-05,1.2117157172062243e-05,8.957151041713226e-06,7.460272732181963e-06,1.52e-06
TD01GL000196,2.4553517255146447e-05,1.5446781258414628e-05,1.3338758704602182e-05,1.988813485564524e-05,2.937657743145578e-05,1.4229905062448445e-05,1.575999502943501e-05,9.109999999999999e-07
TD01GL000197,1.9080037653508902e-05,1.509282406154007e-05,7.005223934170539e-06,1.940477666941153e-05,1.3228576848457047e-05,9.649036750507931e-06,1.1246952849496496e-05,3.27e-07
TD01GL000198,,,,,,,,4.94e-06
TD01GL000199,1.885218302937959e-05,2.397998479747672e-05,9.51953187997958e-06,1.9290934412132227e-05,1.4539186034946055e-05,8.27510976507896e-06,9.021564330352946e-06,9.81e-07
TD01GL000200,2.118407681193167e-05,7.202704696274747e-06,8.508338801136362e-06,2.2368058503484368e-05,1.810009338638357e-05,1.072727669865927e-05,1.4034868505035703e-05,1.55e-06
TD01GL000201,5.3681014009526295e-06,6.022152989004465e-06,2.1091356040480833e-06,3.185027868098156e-06,4.234262696021691e-06,3.175078498474587e-06,2.241199743978641e-06,
TD01GL000202,1.3117684209632427e-05,9.796924338021455e-06,6.076603066545938e-06,1.3870716142944868e-05,1.007688221363415e-05,7.406735742475043e-06,7.686854125808257e-06,2.46e-06
TD01GL000203,1.819934765349143e-05,1.134036921082128e-05,8.293282636984519e-06,1.7381614178755653e-05,1.6275462812697623e-05,8.949900873529509e-06,1.0463211860660818e-05,2.27e-06
TD01GL000204,2.034588073669578e-05,1.591637530218276e-05,8.334296076661486e-06,1.9889252320106092e-05,1.399447009044604e-05,9.505380979619446e-06,1.0017458194913276e-05,6.32e-06
TD01GL000205,2.817298221692416e-05,2.2152684061639653e-05,1.2542799694968677e-05,2.7034785440212814e-05,1.9684157846688516e-05,1.4619446380538044e-05,1.597719641723328e-05,1.77e-06
TD01GL000206,1.557157071383316e-05,1.4138796062080144e-05,8.963862514379221e-06,1.9599093730712516e-05,1.655780788407503e-05,8.674182250133317e-06,1.2229431230098069e-05,9.15e-06
TD01GL000207,2.5314845445146432e-05,2.326561134912482e-05,1.1528868952260875e-05,2.3579373409816454e-05,1.581917233861865e-05,1.3635498421057632e-05,1.1183185632191328e-05,7.95e-06
TD01GL000208,6.682506662270782e-07,6.111264352547389e-07,2.7624836526526166e-07,7.391044626464256e-07,5.678687491464185e-07,6.996417525714963e-07,4.765803102354146e-07,
TD01GL000209,2.229931858313518e-05,1.988479352304286e-05,9.80917456181112e-06,2.380350514136823e-05,1.8289798205084325e-05,1.0815549928588731e-05,9.37432722815972e-06,2.21e-06
TD01GL000210,1.975705490295963e-05,1.6366392477738672e-05,7.839912235308484e-06,2.0048299077398655e-05,1.1891153126912719e-05,6.289386079406275e-06,1.0720466034439408e-05,1.97e-06
TD01GL000211,,,,,,,,1.56e-06
TD01GL000212,6.443460240987929e-06,4.278839186247295e-06,3.1212726806114783e-06,6.970658342084703e-06,6.114872612258816e-06,4.695623861005805e-06,4.761662642003389e-06,6.93e-07
TD01GL000213,2.0781908141945046e-05,1.756191271411454e-05,1.0306894550025818e-05,2.020834980022984e-05,1.7558504206719267e-05,9.886932244031435e-06,1.0272783941856535e-05,4.72e-06
TD01GL000214,1.444747701386794e-07,7.213023089539142e-09,8.826190025526661e-08,2.3412213819739005e-07,,,,
TD01GL000216,1.727259540345474e-07,7.528755152782268e-08,1.0952218935622399e-08,1.590659648555944e-07,2.0571368552626234e-07,1.1777100913514459e-07,8.578988347007814e-08,
TD01GL000220,3.0238769172050045e-07,,1.1098159148718407e-07,3.3147808523279005e-07,3.2251634195123607e-07,2.1452255014430448e-07,3.2293028871064654e-07,
TD01GL000221,1.6158560686411437e-07,,4.988814788741877e-08,2.1736840919599675e-07,,,,
TD01GL000222,,,3.583906147459416e-08,2.8700815834781e-07,,,,
TD01GL000224,2.2428526205276484e-06,5.419230888779836e-08,5.633058663762509e-07,2.35440387577659e-06,6.363939874769372e-07,5.302417630426466e-07,7.258690885387909e-07,1.31e-07
TD01GL000225,,,2.779658041595078e-08,8.577599252032973e-08,,,,
TD01GL000226,2.5394932052768526e-07,,8.416280966193067e-08,4.419423897573381e-07,1.1483422057922256e-07,2.61096844245946e-07,6.745133481022389e-08,
TD01GL000227,1.3079953705380452e-06,6.540410245425659e-07,2.167214116637882e-07,1.4264924989338861e-06,9.289676273016055e-07,9.520743011639517e-07,1.3342320546627833e-06,
TD01GL000232,4.125314270447766e-07,,,4.5132018720470275e-07,1.1267089858465028e-07,3.81365090890959e-07,7.590998814004778e-07,
TD01GL000234,,,1.0573693235497178e-08,,,,,
TD01GL000237,3.7602576409613653e-05,2.73586861551563e-06,3.267168517770006e-06,3.354740627472025e-05,1.890833404535384e-05,3.481075672461882e-05,5.004864264882717e-05,1.29e-06
TD01GL000239,2.499644764347044e-07,,1.1489525197325839e-08,2.3975447316690317e-07,3.3139167504842815e-07,7.02901053955152e-07,6.723336047817632e-07,
TD01GL000240,1.2017761715629838e-06,2.2431216234482633e-07,4.438379673878799e-08,1.3765751630813045e-06,8.090521135796921e-07,2.9155802582019782e-06,2.696955594524683e-06,
TD01GL000242,7.318195503154876e-07,,1.312774781639001e-07,4.858162834981008e-07,2.7184946487452875e-07,3.0757053673153766e-07,5.976171674367667e-07,
TD01GL000243,,,,9.555843127369858e-08,,,,
TD01GL000254,4.837346487103113e-07,1.3938057443242086e-08,1.3212197134273454e-07,5.867678256484373e-07,3.340852645355633e-07,4.286345513422616e-07,4.969833683187783e-07,1.15e-07
TD01GL000259,7.19484933512473e-07,1.2001203523792454e-08,4.587357593210019e-08,6.257130268259535e-07,2.3721759159804798e-07,6.038608658035257e-07,6.766786413974037e-07,
TD01GL000262,7.40638476524907e-06,6.84385308528498e-08,3.645371291572537e-07,7.646376784513938e-06,1.9437193050647275e-06,2.622055548152659e-06,4.000199590021072e-06,9.090000000000001e-07
TD01GL000263,1.2275358889888488e-06,5.7378389796595954e-08,3.1304155606145164e-07,1.2375978147702654e-06,7.133519838437338e-07,1.1440301515294297e-06,1.225471611033249e-06,4.2600000000000003e-07
TD01GL000265,1.5133674143542188e-07,,,,,,,
TD01GL000273,2.544531926099606e-08,,,5.116192496013248e-08,,,,
TD01GL000275,,,3.8527517237699374e-09,3.924678989860439e-08,,,,
TD01GL000277,,,1.4756326420776237e-08,,,,,
TD01GL000280,,,,2.535525081123254e-08,,,,
TD01GL000287,2.5416593863449003e-07,2.91919862190426e-08,1.11127093341597e-07,2.7908966169836853e-07,4.3414333843661084e-07,2.686316785736812e-07,2.628626098921049e-07,7.15e-08
TD01GL000288,1.8848569890775486e-08,,2.7992417131275397e-08,6.200391247872418e-08,,,,
TD01GL000290,7.080456004759979e-07,9.322636163599154e-08,1.2071269417820192e-07,8.701969637105352e-07,6.661943487367464e-07,5.761883179660816e-07,4.436672561561085e-07,
TD01GL000296,3.016451118683993e-07,1.5180449013204598e-07,1.1121095699656277e-07,4.1483956237544627e-07,3.442663137717172e-07,2.2269738351607413e-07,1.8204609127039528e-07,
TD01GL000298,1.6638736263387896e-05,1.5432186043182278e-05,5.56876658859243e-06,1.2048646592741652e-05,8.74857960077076e-06,5.286096602989283e-06,2.3076015432033048e-06,
TD01GL000299,2.400928012266292e-05,9.705128088722977e-06,1.1588507783936426e-05,2.4381949514937453e-05,1.7090817788250967e-05,9.596141990751148e-06,1.0910854238325983e-05,7.559999999999999e-07
TD01GL000300,1.2623464239250963e-07,1.0628737629329517e-07,6.846090998686241e-08,1.5769097592886032e-07,2.448227577586532e-07,1.2701324313465368e-07,1.2026780077068314e-07,
TD01GL000301,1.4905863313512953e-07,1.563056522572485e-07,4.442317865385486e-08,2.00982524603137e-07,1.768970559674362e-07,1.7591690884414892e-07,1.2837076002905115e-07,
TD01GL000302,,,1.5914647676073393e-09,5.875815907729521e-09,,,,
TD01GL000303,2.2877952656671994e-06,4.2924296170732957e-07,3.5157497668594085e-07,1.8715958784816791e-06,9.222522247291714e-07,1.939525691059743e-06,2.4026567563651196e-06,1.78e-07
