,NACL60,NACL20,NACL100,HN,Fermentation_9h,Fermentation_19h,Fermentation_30h,MU
TD01GL000001,1.1945524777688536e-07,5.677694557418923e-08,6.193262091457214e-08,1.350840755287067e-07,1.8957270446137454e-07,1.85011314794883e-07,3.0440977237340945e-08,
TD01GL000002,3.4843744556641105e-06,1.1779064894588074e-06,1.356075295645221e-06,3.393773119370411e-06,2.698366745652955e-06,2.2205003711634544e-06,2.2945878410676253e-06,4.29e-07
TD01GL000003,,,2.8909319172198186e-09,,,,,
TD01GL000004,7.980926738273559e-07,4.956044686321173e-07,3.4116936979022453e-07,9.484930231535285e-07,8.026781948893323e-07,5.675290463633682e-07,4.670070389396379e-07,2.33e-07
TD01GL000006,1.4622677199920445e-07,8.710656103796581e-09,7.023495909855262e-09,1.824375408639999e-07,,,,
TD01GL000007,1.3821394680970118e-06,6.861715021859107e-07,5.46887892367382e-07,1.4395640583642534e-06,1.2818801844711355e-06,8.817132740475949e-07,8.759361970428604e-07,1.99e-07
TD01GL000008,1.2912066577225434e-06,1.20382635272227e-06,6.683667761426298e-07,1.3956541963814957e-06,1.2767296815305333e-06,6.530966517698602e-07,5.886113630653516e-07,2.24e-07
TD01GL000009,4.3841737095921036e-07,1.32629000116636e-07,1.7150205383580055e-07,5.32190909425889e-07,5.278073676513096e-07,3.264690252796643e-07,3.7161141430044e-07,1.44e-07
TD01GL000010,4.4834478566710043e-08,,1.4146950466582742e-08,6.925283920974977e-08,9.122133372662995e-08,5.635843557111646e-08,5.600679384607118e-08,4.4800000000000004e-08
TD01GL000011,2.4067610117155978e-08,,7.490311428591828e-09,6.736306557377626e-08,3.99704905191189e-08,1.9630374541735662e-08,7.766284752116996e-09,
TD01GL000013,8.378891898634782e-08,7.455488445993229e-09,1.3774864423261767e-08,1.2112222853905132e-07,,,,
TD01GL000015,,,4.296281774333421e-09,,,,,
TD01GL000016,1.4783124016083903e-07,1.8446223002591445e-08,2.8870277460519775e-08,8.430830559520836e-08,,,,
TD01GL000017,1.9003947620736714e-07,6.165943917420498e-08,3.416455972198557e-08,2.268726747168052e-07,6.886500319651609e-08,1.0080231398243254e-07,1.2627918175331853e-07,
