metacyc	kegg
ENDOPOLYPHOSPHATASE-RXN	R00001
INORGPYROPHOSPHAT-RXN	R00004
ALLOPHANATE-HYDROLASE-RXN	R00005
4.1.3.17-RXN	R00008
CATAL-RXN	R00009
TREHALA-RXN	R00010
MANGANESE-PEROXIDASE-RXN	R00011
2.7.7.45-RXN	R00012
GLYOCARBOLIG-RXN	R00013
RXN-12583	R00014
RXN-1781	R00015
GLUCOSE-1-PHOSPHATE-PHOSPHODISMUTASE-RXN	R00016
CYTOCHROME-C-PEROXIDASE-RXN	R00017
2.5.1.44-RXN	R00018
HYDROG-RXN	R00019
GLUTAMATE-SYNTHASE-FERREDOXIN-RXN	R00021
RXN-12625	R00022
HYPONITRITE-REDUCTASE-RXN	R00023
RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	R00024
2-NITROPROPANE-DIOXYGENASE-RXN	R00025
RXN-10773	R00026
BENZOIN-ALDOLASE-RXN	R00027
RXN-15910	R00028
RXN-8358	R00029
RXN-5861	R00031
RXN-13374	R00032
DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN	R00034
PORPHOBILSYNTH-RXN	R00036
PROPIOIN-SYNTHASE-RXN	R00038
RXN-11490	R00039
1.2.3.13-RXN	R00042
LIGNOSTILBENE-ALPHA-BETA-DIOXYGENASE-RXN	R00043
COLUMBAMINE-OXIDASE-RXN	R00044
RXN-13061	R00045
HYDROXYBUTYRATE-DIMER-HYDROLASE-RXN	R00048
2.3.1.90-RXN	R00049
CHLORIDE-PEROXIDASE-RXN	R00052
TANNASE-RXN	R00053
ORSELLINATE-DEPSIDE-HYDROLASE-RXN	R00054
RXN-7802	R00055
NUCLEOTIDE-PYROPHOSPHATASE-RXN	R00056
THIOL-OXIDASE-RXN	R00057
CATECHOL-OXIDASE-RXN	R00058
RXN-3962	R00059
1.10.3.7-RXN	R00060
1.10.3.8-RXN	R00061
2.3.1.103-RXN	R00063
OLIGOGALACTURONIDE-LYASE-RXN	R00064
RIBOFLAVIN-SYN-RXN	R00066
MVHMETH-RXN	R00067
RXN0-5255	R00067
RXN-3541	R00068
IMIDHYD-RXN	R00069
RXN-16676	R00070
RXN-16677	R00073
O-AMINOPHENOL-OXIDASE-RXN	R00074
2.5.1.43-RXN	R00075
2.7.11.19-RXN	R00076
PHOSPHORYLASE-PHOSPHATASE-RXN	R00077
RXN0-1483	R00078
CATECHOL-OXIDASE-DIMERIZING-RXN	R00080
CYTOCHROME-C-OXIDASE-RXN	R00081
LACCASE-RXN	R00083
OHMETHYLBILANESYN-RXN	R00084
APYRASE-RXN	R00085
ATPASE-RXN	R00086
ATPSYN-RXN	R00086
ATP-PYROPHOSPHATASE-RXN	R00087
ATP-DEAMINASE-RXN	R00088
ADENYLATECYC-RXN	R00089
NADH-PEROXIDASE-RXN	R00090
RXN-16679	R00091
FERRIC-CHELATE-REDUCTASE-RXN	R00092
GLUTAMATE-SYNTHASE-NADH-RXN	R00093
1.6.5.4-RXN	R00095
AQUACOBALAMIN-REDUCTASE-RXN	R00097
COBIIALAMIN-REDUCTASE-RXN	R00099
CYTOCHROME-B5-REDUCTASE-RXN	R00100
LEGHEMOGLOBIN-REDUCTASE-RXN	R00101
NADNUCLEOSID-RXN	R00102
NADPYROPHOSPHAT-RXN	R00103
NAD-KIN-RXN	R00104
NADH-KINASE-RXN	R00105
NADPH--FERRIHEMOPROTEIN-REDUCTASE-RXN	R00106
